Timestamp,Eh_Fillers_Spanish,Blinks_Per_Min,Lip_Bites,Tremor_Hz,Dupers_Delight,Ground_Truth,Tremor_Suppressed,Lip_Num,Duping_Num,Correlation_Score
0:00,0,31.7,Yes,None,No,Deception,1,1,0,0.8
0:00,1,20.9,Yes,8.33251304,No,Truth,0,1,0,0.6
0:00,0,17.9,Yes,8.025521504,No,Truth,0,1,0,0.35
0:00,2,39.7,Yes,None,No,Deception,1,1,0,0.8
0:00,1,27.1,No,None,Yes,Deception,1,0,1,0.7
0:00,4,34.2,No,None,No,Deception,1,0,0,0.75
0:00,5,31.4,Yes,None,No,Deception,1,1,0,1
0:00,2,13.9,Yes,10.91071431,No,Truth,0,1,0,0.35
0:00,3,10.5,Yes,10.33742971,No,Truth,0,1,0,0.55
0:00,1,20.8,Yes,None,No,Truth,1,1,0,0.8
0:00,2,15.7,No,None,No,Deception,1,0,0,0.3
0:00,0,12.3,Yes,None,No,Truth,1,1,0,0.55
0:01,5,13,Yes,9.959576168,No,Truth,0,1,0,0.55
0:01,3,33.9,Yes,None,No,Deception,1,1,0,1
0:01,8,30.3,No,None,Yes,Deception,1,0,1,0.9
0:01,0,27,No,None,No,Deception,1,0,0,0.55
0:01,4,29.2,Yes,None,No,Deception,1,1,0,1
0:01,2,29.2,Yes,None,No,Deception,1,1,0,0.8
0:01,2,36.9,Yes,None,No,Deception,1,1,0,0.8
0:01,1,28.4,Yes,None,Yes,Deception,1,1,1,0.95
0:01,1,17,Yes,8.85958218,No,Truth,0,1,0,0.35
0:01,7,20.4,Yes,None,No,Deception,1,1,0,1
0:01,1,27.7,Yes,None,No,Deception,1,1,0,0.8
0:02,2,36.7,Yes,None,No,Deception,1,1,0,0.8
0:02,3,30.6,Yes,None,No,Deception,1,1,0,1
0:02,3,8.2,Yes,10.12645061,No,Truth,0,1,0,0.55
0:02,3,22.2,Yes,None,No,Deception,1,1,0,1
0:02,4,23.6,Yes,None,No,Deception,1,1,0,1
0:02,6,34,Yes,None,Yes,Deception,1,1,1,1
0:02,3,33.3,Yes,None,No,Deception,1,1,0,1
0:02,1,20,Yes,None,No,Truth,1,1,0,0.55
0:02,3,27.5,No,None,No,Deception,1,0,0,0.75
0:02,2,28.9,Yes,None,No,Deception,1,1,0,0.8
0:02,0,19.3,Yes,8.399169406,No,Truth,0,1,0,0.35
0:03,2,14.4,No,10.5663536,No,Truth,0,0,0,0.1
0:03,1,12.5,No,10.16705849,No,Truth,0,0,0,0.1
0:03,3,30.5,No,None,No,Deception,1,0,0,0.75
0:03,1,25,Yes,None,No,Deception,1,1,0,0.8
0:03,3,10,Yes,10.59956452,No,Truth,0,1,0,0.55
0:03,3,26.6,Yes,None,No,Deception,1,1,0,1
0:03,8,29.7,Yes,None,No,Deception,1,1,0,1
0:03,6,19.4,Yes,2.703624081,Yes,Deception,0,1,1,0.7
0:03,4,24,Yes,None,Yes,Deception,1,1,1,1
0:03,1,14.7,No,9.137911281,No,Truth,0,0,0,0.1
0:03,3,27.6,No,None,No,Deception,1,0,0,0.75
0:04,3,11.8,Yes,11.07390925,No,Truth,0,1,0,0.55
0:04,8,23.1,Yes,None,No,Deception,1,1,0,1
0:04,3,32.3,No,None,No,Deception,1,0,0,0.75
0:04,5,24.9,No,None,No,Deception,1,0,0,0.75
0:04,3,31.1,Yes,None,No,Deception,1,1,0,1
0:04,2,15.3,Yes,10.6292353,No,Truth,0,1,0,0.35
0:04,0,21.9,Yes,None,No,Truth,1,1,0,0.8
0:04,1,13.1,Yes,9.118107503,No,Truth,0,1,0,0.35
0:04,0,12.2,Yes,10.05257377,No,Truth,0,1,0,0.35
0:04,0,32.1,Yes,None,No,Deception,1,1,0,0.8
0:04,0,14.3,No,9.823597598,No,Truth,0,0,0,0.1
0:05,3,25.9,Yes,None,No,Deception,1,1,0,1
0:05,1,30.1,Yes,None,No,Deception,1,1,0,0.8
0:05,1,25.7,Yes,None,Yes,Deception,1,1,1,0.95
0:05,1,31.8,Yes,None,No,Deception,1,1,0,0.8
0:05,2,29.4,Yes,4.414541814,Yes,Deception,0,1,1,0.75
0:05,5,24.3,Yes,None,Yes,Deception,1,1,1,1
0:05,1,6.3,Yes,9.07323517,No,Truth,0,1,0,0.35
0:05,4,29.6,Yes,None,No,Deception,1,1,0,1
0:05,4,35,Yes,None,No,Deception,1,1,0,1
0:05,2,33.4,Yes,4.568983079,No,Deception,0,1,0,0.6
0:05,2,22.3,Yes,None,No,Deception,1,1,0,0.8
0:06,1,14.4,No,11.95407595,No,Truth,0,0,0,0.1
0:06,4,23.9,Yes,None,No,Deception,1,1,0,1
0:06,2,19.2,No,None,No,Truth,1,0,0,0.3
0:06,0,11.5,Yes,8.679064861,No,Truth,0,1,0,0.35
0:06,4,32.7,Yes,None,Yes,Deception,1,1,1,1
0:06,4,25.3,Yes,None,No,Deception,1,1,0,1
0:06,2,11.4,Yes,9.14644165,No,Truth,0,1,0,0.35
0:06,2,11.1,Yes,9.253818039,No,Truth,0,1,0,0.35
0:06,2,20.1,No,10.84164768,No,Truth,0,0,0,0.35
0:06,2,16.8,Yes,None,No,Truth,1,1,0,0.55
0:06,4,27.8,Yes,None,No,Deception,1,1,0,1
0:07,6,22.8,Yes,None,Yes,Deception,1,1,1,1
0:07,1,27.9,Yes,None,No,Deception,1,1,0,0.8
0:07,1,8.7,Yes,10.83399748,No,Truth,0,1,0,0.35
0:07,1,11,Yes,12.33585141,No,Truth,0,1,0,0.35
0:07,2,29.7,Yes,None,No,Deception,1,1,0,0.8
0:07,7,20.1,Yes,None,No,Deception,1,1,0,1
0:07,4,31.4,Yes,None,No,Deception,1,1,0,1
0:07,4,32,Yes,4.538755992,No,Deception,0,1,0,0.8
0:07,0,15.8,Yes,8.895191688,No,Truth,0,1,0,0.35
0:07,1,14.9,Yes,9.866528726,No,Truth,0,1,0,0.35
0:07,2,12.6,Yes,8.91531083,No,Truth,0,1,0,0.35
0:08,0,31.9,Yes,None,No,Deception,1,1,0,0.8
0:08,1,36.4,Yes,None,No,Deception,1,1,0,0.8
0:08,1,18.9,Yes,8.689224682,No,Truth,0,1,0,0.35
0:08,1,13.8,Yes,None,No,Truth,1,1,0,0.55
0:08,3,22.6,Yes,3.68359155,No,Deception,0,1,0,0.8
0:08,0,11.9,Yes,10.09022451,No,Truth,0,1,0,0.35
0:08,2,22.2,No,None,No,Deception,1,0,0,0.55
0:08,4,29.2,Yes,None,Yes,Deception,1,1,1,1
0:08,8,25.9,Yes,None,No,Deception,1,1,0,1
0:08,3,21.6,Yes,None,No,Deception,1,1,0,1
0:08,1,33,No,None,No,Deception,1,0,0,0.55
0:09,4,32.2,No,None,No,Deception,1,0,0,0.75
0:09,1,12.6,Yes,11.47246007,No,Truth,0,1,0,0.35
0:09,4,30.9,Yes,None,No,Deception,1,1,0,1
0:09,3,30,Yes,None,Yes,Deception,1,1,1,1
0:09,2,15.9,Yes,9.15485475,No,Truth,0,1,0,0.35
0:09,5,29,Yes,3.761119252,No,Deception,0,1,0,0.8
0:09,4,36.6,No,None,No,Deception,1,0,0,0.75
0:09,0,22.6,Yes,8.675960073,No,Truth,0,1,0,0.6
0:09,1,26.4,Yes,None,No,Deception,1,1,0,0.8
0:09,8,22.2,Yes,None,No,Deception,1,1,0,1
0:09,4,22.4,Yes,1.847109407,No,Deception,0,1,0,0.8
0:09,4,21.9,Yes,None,No,Deception,1,1,0,1
0:10,4,16.6,Yes,None,No,Truth,1,1,0,0.75
0:10,1,14.9,Yes,None,No,Truth,1,1,0,0.55
0:10,1,12.8,No,9.473695352,No,Truth,0,0,0,0.1
0:10,3,14.4,Yes,None,No,Truth,1,1,0,0.75
0:10,0,9.5,Yes,None,No,Truth,1,1,0,0.55
0:10,1,22.8,Yes,None,No,Deception,1,1,0,0.8
0:10,4,20.5,Yes,11.3995633,No,Truth,0,1,0,0.8
0:10,3,27,Yes,None,No,Deception,1,1,0,1
0:10,1,7.7,Yes,8.57450463,No,Truth,0,1,0,0.35
0:10,1,12.4,No,9.576380732,No,Truth,0,0,0,0.1
0:10,1,37.3,No,None,No,Deception,1,0,0,0.55
0:11,1,18.3,Yes,5.085895566,No,Deception,0,1,0,0.35
0:11,6,27.6,Yes,None,No,Deception,1,1,0,1
0:11,3,18.3,Yes,None,No,Deception,1,1,0,0.75
0:11,1,12.4,Yes,None,No,Truth,1,1,0,0.55
0:11,0,15.5,Yes,10.56963788,No,Truth,0,1,0,0.35
0:11,5,30.5,Yes,None,No,Deception,1,1,0,1
0:11,5,23.2,Yes,None,No,Deception,1,1,0,1
0:11,4,30.4,Yes,None,No,Deception,1,1,0,1
0:11,3,28.6,Yes,None,No,Deception,1,1,0,1
0:11,2,27.2,Yes,None,No,Deception,1,1,0,0.8
0:11,3,35.6,Yes,None,No,Deception,1,1,0,1
0:12,0,5.3,Yes,10.6093092,No,Truth,0,1,0,0.35
0:12,5,30.3,Yes,None,No,Deception,1,1,0,1
0:12,4,17.2,No,None,Yes,Deception,1,0,1,0.65
0:12,1,12.9,Yes,10.0647861,No,Truth,0,1,0,0.35
0:12,4,26.5,Yes,None,No,Deception,1,1,0,1
0:12,0,11.7,Yes,8.548366309,No,Truth,0,1,0,0.35
0:12,0,10.6,No,10.71991448,No,Truth,0,0,0,0.1
0:12,6,23.6,Yes,None,No,Deception,1,1,0,1
0:12,1,38.4,Yes,None,No,Deception,1,1,0,0.8
0:12,3,13.4,Yes,None,No,Deception,1,1,0,0.75
0:12,3,29.5,Yes,None,No,Deception,1,1,0,1
0:13,2,28.3,Yes,None,No,Deception,1,1,0,0.8
0:13,1,10.8,Yes,9.323621167,No,Truth,0,1,0,0.35
0:13,8,24.8,Yes,None,Yes,Deception,1,1,1,1
0:13,5,28.4,Yes,None,No,Deception,1,1,0,1
0:13,3,34.4,Yes,None,No,Deception,1,1,0,1
